Date,Infected,Recovered,Deaths,Exposed 
3/8/2020,3,0,0,2.1333
3/9/2020,3,0,0,2.1333
3/10/2020,3,0,0,2.1333
3/11/2020,3,2,0,2.1333
3/12/2020,3,2,0,2.1333
3/13/2020,3,2,0,2.1333
3/14/2020,3,2,0,2.1333
3/15/2020,5,2,0,3.5555
3/16/2020,8,3,0,5.6888
3/17/2020,10,3,0,7.111
3/18/2020,14,3,1,9.9554
3/19/2020,17,3,1,12.0887
3/20/2020,20,3,1,14.222
3/21/2020,24,3,2,17.0664
3/22/2020,27,5,2,19.1997
3/23/2020,33,5,3,23.4663
3/24/2020,39,5,4,27.7329
3/25/2020,39,5,5,27.7329
3/26/2020,44,11,5,31.2884
3/27/2020,48,11,5,34.1328
3/28/2020,48,15,5,34.1328
3/29/2020,48,15,5,34.1328
3/30/2020,49,19,5,34.8439
3/31/2020,51,25,5,36.2661
4/1/2020,54,26,6,38.3994
4/2/2020,56,26,6,39.8216
4/3/2020,61,26,6,43.3771
4/4/2020,70,30,8,49.777
4/5/2020,88,33,9,62.5768
4/6/2020,123,33,12,87.4653
4/7/2020,164,33,17,116.6204
4/8/2020,218,33,20,155.0198
4/9/2020,330,33,21,234.663
4/10/2020,426,33,27,302.9286
4/11/2020,482,36,30,342.7502
4/12/2020,621,39,34,441.5931
4/13/2020,803,42,39,571.0133
4/14/2020,1012,42,46,719.6332
4/15/2020,1231,49,50,875.3641
4/16/2020,1572,49,60,1117.8492
4/17/2020,1838,58,75,1307.0018
4/18/2020,2144,66,84,1524.5984
4/19/2020,2456,75,91,1746.4616
4/20/2020,2948,85,101,2096.3228
4/21/2020,3382,87,110,2404.9402
4/22/2020,3772,92,120,2682.2692
4/23/2020,4186,108,127,2976.6646
4/24/2020,4689,112,131,3334.3479
4/25/2020,4998,113,140,3554.0778
4/26/2020,5416,122,145,3851.3176
4/27/2020,5913,131,152,4204.7343
4/28/2020,6462,139,155,4595.1282
4/29/2020,7103,150,163,5050.9433
4/30/2020,7667,160,168,5452.0037
5/1/2020,8238,174,170,5858.0418
5/2/2020,8790,177,175,6250.569
5/3/2020,9455,1063,177,6723.4505
5/4/2020,10143,1210,182,7212.6873
5/5/2020,10929,1403,183,7771.6119
