Date,Infected,Recovered,Deaths,Exposed 
3/8/2020,3,0,0,1.5
3/9/2020,3,0,0,1.5
3/10/2020,3,0,0,1.5
3/11/2020,3,2,0,1.5
3/12/2020,3,2,0,1.5
3/13/2020,3,2,0,1.5
3/14/2020,3,2,0,1.5
3/15/2020,5,2,0,2.5
3/16/2020,8,3,0,4
3/17/2020,10,3,0,5
3/18/2020,14,3,1,7
3/19/2020,17,3,1,8.5
3/20/2020,20,3,1,10
3/21/2020,24,3,2,12
3/22/2020,27,5,2,13.5
3/23/2020,33,5,3,16.5
3/24/2020,39,5,4,19.5
3/25/2020,39,5,5,19.5
3/26/2020,44,11,5,22
3/27/2020,48,11,5,24
3/28/2020,48,15,5,24
3/29/2020,48,15,5,24
3/30/2020,49,19,5,24.5
3/31/2020,51,25,5,25.5
4/1/2020,54,26,6,27
4/2/2020,56,26,6,28
4/3/2020,61,26,6,30.5
4/4/2020,70,30,8,35
4/5/2020,88,33,9,44
4/6/2020,123,33,12,61.5
4/7/2020,164,33,17,82
4/8/2020,218,33,20,109
4/9/2020,330,33,21,165
4/10/2020,426,33,27,213
4/11/2020,482,36,30,241
4/12/2020,621,39,34,310.5
4/13/2020,803,42,39,401.5
4/14/2020,1012,42,46,506
4/15/2020,1231,49,50,615.5
4/16/2020,1572,49,60,786
4/17/2020,1838,58,75,919
4/18/2020,2144,66,84,1072
4/19/2020,2456,75,91,1228
4/20/2020,2948,85,101,1474
4/21/2020,3382,87,110,1691
4/22/2020,3772,92,120,1886
4/23/2020,4186,108,127,2093
4/24/2020,4689,112,131,2344.5
4/25/2020,4998,113,140,2499
4/26/2020,5416,122,145,2708
4/27/2020,5913,131,152,2956.5
4/28/2020,6462,139,155,3231
4/29/2020,7103,150,163,3551.5
4/30/2020,7667,160,168,3833.5
5/1/2020,8238,174,170,4119
5/2/2020,8790,177,175,4395
5/3/2020,9455,1063,177,4727
5/4/2020,10143,1210,182,5071.5
5/5/2020,10929,1403,183,5464.5
