Date,Infected,Recovered,Deaths
3/8/2020,3,0,0
3/9/2020,3,0,0
3/10/2020,3,0,0
3/11/2020,3,2,0
3/12/2020,3,2,0
3/13/2020,3,2,0
3/14/2020,3,2,0
3/15/2020,5,2,0
3/16/2020,8,3,0
3/17/2020,10,3,0
3/18/2020,14,3,1
3/19/2020,17,3,1
3/20/2020,20,3,1
3/21/2020,24,3,2
3/22/2020,27,5,2
3/23/2020,33,5,3
3/24/2020,39,5,4
3/25/2020,39,5,5
3/26/2020,44,11,5
3/27/2020,48,11,5
3/28/2020,48,15,5
3/29/2020,48,15,5
3/30/2020,49,19,5
3/31/2020,51,25,5
4/1/2020,54,26,6
4/2/2020,56,26,6
4/3/2020,61,26,6
4/4/2020,70,30,8
4/5/2020,88,33,9
4/6/2020,123,33,12
4/7/2020,164,33,17
4/8/2020,218,33,20
4/9/2020,330,33,21
4/10/2020,426,33,27
4/11/2020,482,36,30
4/12/2020,621,39,34
4/13/2020,803,42,39
4/14/2020,1012,42,46
4/15/2020,1231,49,50
4/16/2020,1572,49,60
4/17/2020,1838,58,75
4/18/2020,2144,66,84
4/19/2020,2456,75,91
4/20/2020,2948,85,101
4/21/2020,3382,87,110
4/22/2020,3772,92,120
4/23/2020,4186,108,127
4/24/2020,4689,112,131
4/25/2020,4998,113,140
4/26/2020,5416,122,145
4/27/2020,5913,131,152
4/28/2020,6462,139,155
4/29/2020,7103,150,163
4/30/2020,7667,160,168
5/1/2020,8238,174,170
5/2/2020,8790,177,175
5/3/2020,9455,1063,177
5/4/2020,10143,1210,182
5/5/2020,10929,1403,183
